Week,Rating,Comments,% Total,Total
2018-09-21,3.5543478260869565,92.0,0.08940719144800778,1029
2018-09-28,3.6666666666666665,6.0,0.05042016806722689,119
2018-10-05,3.75,8.0,0.046242774566473986,173
2018-10-12,3.5,6.0,0.1016949152542373,59
2018-10-19,3.3333333333333335,6.0,0.1875,32
2018-10-26,3.0,1.0,0.0625,16
2018-11-02,4.0,1.0,0.030303030303030304,33
2018-11-09,4.0,1.0,0.05,20
2018-11-16,4.333333333333333,3.0,0.13043478260869565,23
2018-11-23,4.0,2.0,0.07692307692307693,26
2018-11-30,,0.0,0.0,25
2018-12-07,3.0,1.0,0.034482758620689655,29
2018-12-14,4.0,1.0,0.030303030303030304,33
2018-12-21,4.0,2.0,0.15384615384615385,13
2018-12-28,4.0,1.0,0.06666666666666667,15
2019-01-04,4.0,1.0,0.07692307692307693,13
